Name,Latitude,Longitude,OSM_ID
Académie des Sciences et des Technologies,-4.3991291,15.2682924,5178480944
Ecole Madame de Sévigné Secondaire,-4.3424186,15.2825918,5182837553
Ecole Bamoyo,-4.3327029,15.2515827,5185129479
Ecole Kilimani,-4.334716,15.2546754,5185129480
Ecole Technique,-4.3352431,15.2538846,5185129481
Ecole Loupio,-4.331204,15.2630028,5185129482
Ecole Chez Mickey,-4.3315644,15.2625636,5185129483
Joviemly High School,-4.3325369,15.2643699,5185129484
Ecole Saint-Georges,-4.3381148,15.267321,5194424338
Ecole Madame de Sévigné Maternelle,-4.3421562,15.2808573,5194466112
Ecole Non-conventionnelle Le Vallée,-4.3462634,15.2745047,5219801925
Ecole Bolingani,-4.3367659,15.2714103,5219810499
Ecole Catholique Sainte Famille,-4.3940265,15.3152686,5241592807
Complexe Scolaire Trésors,-4.3973052,15.3165668,5241592808
Complexe Scolaire Washington School,-4.3975459,15.3161806,5241592809
Complexe Scolaire Sacré Coeur,-4.4013434,15.3165615,5241592810
EP1 & 2 ITAV Saint Esprit,-4.4081388,15.3164488,5241592811
I.T.M. Kikeva,-4.4093074,15.3164005,5241592812
Collège Méthode Daniel,-4.411035,15.3164113,5241592813
Complexe Scolaire Le Cadet du Mont Amba,-4.4123454,15.3158212,5241592814
Ecole Anuarite,-4.3923042,15.3231999,5241628099
Lycée Technique et scientifique de Limete,-4.3504123,15.3398699,5263448468
EP1 Kingabwa,-4.3643302,15.3574061,5264013777
EP1 Nsona Pangu,-4.393053,15.3759241,5264013787
C.S. Petite Thérèse,-4.3456624,15.3322631,5266023718
Ecole BERE Limete,-4.3730381,15.3475785,5266864034
Ecole Maternel Univers Scolaire,-4.3522336,15.2840611,5266898482
Groupe Scolaire Life Line,-4.3535602,15.2873629,5266898486
Collège Eben Ezer,-4.3540121,15.2878618,5266898490
Ecole Ange Raphael,-4.3513617,15.2805904,5266898497
Ecole Ntodo,-4.3471187,15.2776107,5266898498
Village Bondeko,-4.3388745,15.2784473,5268094493
C.S. Beni 2,-4.3379625,15.2768218,5268094495
C.S. Mont des Oliviers,-4.3369622,15.2757758,5268094504
"Madame de Sévigné- Maternel, Primaire",-4.3391901,15.2743247,5268094515
Ecole Le Bambin,-4.3423648,15.2734664,5268094520
C.S. Makanisi,-4.3407025,15.2740417,5268094533
C.S. Les Bambins,-4.3415009,15.2745607,5268094535
Lycée Les Arc-Anges,-4.3455207,15.2788845,5268094537
Lycée Technique Omisalisa,-4.3449162,15.279091,5268094538
C.S. Saint Michel,-4.3446515,15.2791983,5268094543
Institut Bokolo,-4.343587,15.2808291,5268094545
C.S. Marie Stella,-4.34302,15.2820924,5268094548
Ecole Conventionel Adventiste,-4.3483351,15.2872272,5268094578
EP 1 et 2 Ango Ango,-4.3501903,15.2828649,5268094591
Ecole Beree Ngaliema,-4.3576734,15.2519229,5268176447
EP 3 et 4 Institut Makelele,-4.341533,15.2753413,5268176448
ITI MAENDELEO,-4.4417018,15.2574746,5273550367
centre de formation emmhest,-4.4407117,15.257032,5273550368
complexe scolaire ngemba,-4.4423148,15.2588573,5273550370
College Pierre Bouvet,-4.4418696,15.2592972,5273550371
Complexe scolaire Bienheureux Isidore Bakanja,-4.3508536,15.3366405,5287473698
Complexe scolaire Sainte Faustine,-4.3836968,15.315451,5287474926
La Grâce,-4.3427621,15.317369,5291677394
École Monseigneur Moke,-4.34279,15.3153652,5292873862
G.S. Mama Zoya,-4.3387782,15.3068304,5292873865
C.S. Le Chandelier,-4.424925,15.257526,5295927108
EPSP de Kinshasa,-4.4255721,15.2579606,5295927109
C.S. Jacques Vincent,-4.4283961,15.2580571,5295927110
C.S. Elisabeth International,-4.4335947,15.2779645,5295927112
Collège Boyokani,-4.4128749,15.2874649,5295927115
C.S. Tilano Tyranus,-4.4041354,15.2943098,5295927117
G.S. Kalonda,-4.3991424,15.3016993,5295927118
C.S. Les Pélerins,-4.3977197,15.305205,5295927119
Ecole Chrétienne Rehoboth,-4.4147362,15.3036868,5295927120
Collège Frére Alingba,-4.347449,15.2659053,5296008516
"Ecole Madame de Sévigné Maternel, Primaire",-4.3488023,15.2642477,5296008517
C.S. La Sommite,-4.3545631,15.263266,5296008518
Ecole Le Bambin,-4.3879611,15.2604228,5296008828
C.S. La Grace,-4.3925235,15.259887,5296008829
Tome School,-4.3933205,15.2597469,5296008830
Ecole d'application Pédagogique,-4.399696,15.2579337,5296008831
Collège Samuel Levi,-4.4046007,15.2558309,5296008832
C.S. Kiungu,-4.410115,15.2576655,5296008834
CS Eveil,-4.3508055,15.2709907,5329685749
CS La Couronne,-4.3581977,15.265114,5329686110
Institut Batela,-4.3569166,15.267292,5329686116
CS Bolamu,-4.3571734,15.2660072,5329686117
CS Nyota,-4.3560956,15.263384,5329686119
Ecole Kama,-4.3510783,15.2639928,5329686124
Ecole Les petits Lutins,-4.3413163,15.2661172,5329686133
C.S. Les Hortensias,-4.3438972,15.2666643,5329686134
Ecole Malula,-4.4121903,15.2903455,5372939682
Ecole Magango,-4.4100027,15.2918637,5372939685
ILS,-4.4028677,15.2922553,5372939687
C.S. Kiese,-4.352285,15.2853794,5407026099
École Maternelle Boboto,-4.3085395,15.2867889,5410208647
C.S. Manyanga,-4.3084271,15.2871966,5410208648
Univers scolaire,-4.3526337,15.2834166,5416312771
C.S. Baraka,-4.3532918,15.2835511,5416315445
Ecole Mama Nkuakadi,-4.3843619,15.2595709,5496855512
Ecole Maternel,-4.3855435,15.2598327,5496855513
CS Saint Georges,-4.3397469,15.2656913,5499221917
Ecole Rev. Kim,-4.3325279,15.2629817,5499221918
GS Aurore,-4.331105,15.2634993,5499221920
Ecole La Main Ouverte,-4.3407654,15.2990976,5499321327
Institut Charles Kisolokele,-4.3438999,15.297837,5499321332
Collège Mixte de Bandalungua,-4.3458978,15.2868506,5499321338
CS Clessidra,-4.3168682,15.2912924,5499358550
Ecole Eureka,-4.3173871,15.2899727,5499358552
Ecole Bilingue Les Petits Dauphins,-4.3179514,15.2872369,5499358554
Complexe Scolaire La Puisette Ngoika,-4.322862,15.2892861,5499427140
Ecole Bambinière,-4.3172306,15.2929687,5500780938
Complexe scolaire ngafani,-4.4292218,15.2777972,5608040180
EP Mongafula,-4.4279041,15.283463,5691706806
Collège Saint Thomas,-4.4004716,15.3481083,5744539985
